OverallRating,ReviewHeader,ReviewBody,cleaned_review,SeatComfort
1,"""Service level far worse then Ryanair""","4 Hours before takeoff we received a Mail stating a cryptic message that there are disruptions to be expected as there is a limit on how many planes can leave at the same time. So did the capacity of the Heathrow Airport really hit British Airways by surprise, 4h before departure? Anyhow - we took the one hour delay so what - but then we have been forced to check in our Hand luggage. I travel only with hand luggage to avoid waiting for the ultra slow processing of the checked in luggage. Overall 2h later at home than planed, with really no reason, just due to incompetent people. Service level far worse then Ryanair and triple the price. Really never again. Thanks for nothing.",Hours before takeoff received Mail stating cryptic message that there disruptions expected there limit many planes leave same time capacity Heathrow Airport really British Airways surprise before departure Anyhow took hour delay what then have been forced check Hand luggage travel only with hand luggage avoid waiting ultra slow processing checked luggage Overall later home than planed with really reason just incompetent people Service level worse then Ryanair triple price Really never again Thanks nothing,1
3,"""do not upgrade members based on status""","I recently had a delay on British Airways from BRU to LHR that was due to staff shortages. They announced that there was a 2 hour holding delay but they would board us immediately in hopes of clearing the gate and leaving early. We had to wait the full 2 hours inside the airplane. The plane was old, dirty, had no power at the seats. The staff provided a small bag of pretzels and 250ml of water to the passengers for 2 hour delay and 2 hour flight. There were no options to purchase food or drink. There were no entertainment options available. I am a OneWorld emerald elite member but they do not upgrade members based on status. First class lounges at Heathrow are overcrowded, understaffed and poorly equipped. The help desk is completely unhelpful when an error arises with delays and cancellations - even when having the top status. The Avios points system has been devalued to near worthlessness and requires fees to book reward that nearly equal the price of the revenue ticket. British has lost its way in recent years and has a moved from a world-class airline to a budget airline with much worse service and timeliness than Ryanair or EasyJet.",recently delay British Airways from that staff shortages They announced that there hour holding delay they would board immediately hopes clearing gate leaving early wait full hours inside airplane plane dirty power seats staff provided small pretzels 250ml water passengers hour delay hour flight There were options purchase food drink There were entertainment options available OneWorld emerald elite member they upgrade members based status First class lounges Heathrow overcrowded understaffed poorly equipped help desk completely unhelpful when error arises with delays cancellations even when having status Avios points system been devalued near worthlessness requires fees book reward that nearly equal price revenue ticket British lost recent years moved from worldclass airline budget airline with much worse service timeliness than Ryanair EasyJet,2
1,"""Absolutely hopeless airline""","5 days before the flight, we were advised by BA that it had been cancelled and asked us to rebook. There were flights 1 hour before and 1 hour after our original flight but they made us take one 3 hours earlier. Our original ticket (and the return flight a week later) included a checked bag. When we arrive at Heathrow to check in we are told our ticket doesn't included a bag and we will have to pay 75 pounds each to take them. We explained that the original ticket had the bags and when they checked the system they confirmed that it did- but not this one! They would make no effort to sort it out and just told us to pay up or they would remove us from the flight. So we had no choice but to pay up, thinking it should be pretty easy to get a refund. 15 months and 10 emails later we have still not seen a penny. Every time I ask where my refund is and state how long we have been waiting I get an inane email saying some departments take longer than others to respond!  Absolutely hopeless airline to stuff up the booking in the first place and even worse customer service to not even attempt to solve the problem at check in even when they could see the mistake THEY had made in their system, compounded by being be unable to investigate a very simple claim, and refund me 150 pounds in 15 months.",days before flight were advised that been cancelled asked rebook There were flights hour before hour after original flight they made take hours earlier original ticket return flight week later included checked When arrive Heathrow check told ticket doesnt included will have pounds each take them explained that original ticket bags when they checked system they confirmed that this They would make effort sort just told they would remove from flight choice thinking should pretty easy refund months emails later have still seen penny Every time where refund state long have been waiting inane email saying some departments take longer than others respond Absolutely hopeless airline stuff booking first place even worse customer service even attempt solve problem check even when they could mistake THEY made their system compounded being unable investigate very simple claim refund pounds months,3
1,"""I can’t imagine a worst airline""","Booked a flight from Bucharest to Manchester with a 2h 45’ layover at Heathrow. Flight was delayed from Bucharest because of ATC strike. Arrived at Heathrow 40 minutes later than scheduled and still had enough time to catch my connecting flight. Unfortunately we were stranded in the plane and waited a very long time to disembark the plane due to lack of staff or slot shortage (it’s a common problem with BA at Heathrow). I missed my connecting flight because of their delays and they told me I had to wait all night in a freezing airport for the first flight the next day. There was just a shameful 10£ food voucher which is a joke considering the ridiculous prices at LHR. No accommodation offered and had to sleep in a very cold airport. I asked for compensation and they sent me a long text with the same lame excuses that they are sorry, but they will not compensate anything.  I can’t imagine a worst airline than BA regarding customer care. It is not about money here but rather than the way they treat customers. It is the last time in my lifetime that I will be flying this joke of an airline.",Booked flight from Bucharest Manchester with layover Heathrow Flight delayed from Bucharest because strike Arrived Heathrow minutes later than scheduled still enough time catch connecting flight Unfortunately were stranded plane waited very long time disembark plane lack staff slot shortage it’s common problem with Heathrow missed connecting flight because their delays they told wait night freezing airport first flight next There just shameful food voucher which joke considering ridiculous prices accommodation offered sleep very cold airport asked compensation they sent long text with same lame excuses that they sorry they will compensate anything can’t imagine worst airline than regarding customer care about money here rather than they treat customers last time lifetime that will flying this joke airline,1
3,"""BA now stands for Basic Airways""","As an infrequent flyer, British Airways was always my first choice. With some reassurance and comfort of service, quality, luggage allowance etc. In fact I’ve never flown with the budget airlines. My most recent flight has now changed my view and causes me to reflect on what am I actually getting for my money and is BA what they once were. While the flights were around an hour delayed both ways, the cabin and ground staff service were ok. It is the facilities (or lack of) that I am most disappointed by. The flight was Approx 4 and a half hours and the only thing offered was a half cup of water that was poured out and a bite sized banana slice of cake. In fact on my return journey I wasn’t even offered the water! To top it off BA no longer have a media screen from which you can select something to pass the time away. There wasn’t even the obligatory flight journey. The WiFi was poor. I couldn’t even access the shop. However, for a fee so much more was available. This explains BAs record profit of £1.52bn. So, the question is, what am I paying for? I will now for sure opt for the budget airlines. They are transparent with what they offer and what you have to pay for, which I can decide to choose or not. As BA now stands for Basic Airways I’ll go elsewhere and get basic for cheaper.",infrequent flyer British Airways always first choice With some reassurance comfort service quality luggage allowance fact I’ve never flown with budget airlines most recent flight changed view causes reflect what actually getting money what they once were While flights were around hour delayed both ways cabin ground staff service were facilities lack that most disappointed flight Approx half hours only thing offered half water that poured bite sized banana slice cake fact return journey wasn’t even offered water longer have media screen from which select something pass time away There wasn’t even obligatory flight journey WiFi poor couldn’t even access shop However much more available This explains record profit £152bn question what paying will sure budget airlines They transparent with what they offer what have which decide choose stands Basic Airways I’ll elsewhere basic cheaper,3
1,“BA clearly does not care”,"1. Ground crew in Heathrow left 60 passengers luggage. We had 3 bags. 2. The Heathrow ground crew left 1 of ours behind after the 1st two were received the next day. 3. The Heathrow ground crew lost our 3rd bag 4 times and we were on the phone with them for over 3 hrs over the course of the week! 4. Due to this, we had to spend $500 on health and beauty items for my wife on our cruise. 5. British Airways said they MIGHT reimburse after 3 months. 6. We had to spend $100 in cab fare to Barcelona because the Bacelona ground crew (Iberia) claimed they had delivered it to us. 7. Heathrow ground crew made us 15 minutes late arriving back into Heathrow after our cruise. We actually landed 10 minutes early, but those incompetent people still were not ready for us. 8. The Heathrow ground crew caused us to leave 45 minutes late even though ALL passengers were boarded and ready 15 minutes before the departure time. This will probably mean we will miss our connection in Anchorage. BA clearly does not care or know how to operate a ground base...shameful. BA is a joke and should be embarrassed they can't operate like a normal airline. They do not grasp the concept that even a small hiccup can cause mass ripples of chaos to other people.",Ground crew Heathrow left passengers luggage bags Heathrow ground crew left ours behind after were received next Heathrow ground crew lost times were phone with them over over course week this spend health beauty items wife cruise British Airways said they MIGHT reimburse after months spend fare Barcelona because Bacelona ground crew Iberia claimed they delivered Heathrow ground crew made minutes late arriving back into Heathrow after cruise actually landed minutes early those incompetent people still were ready Heathrow ground crew caused leave minutes late even though passengers were boarded ready minutes before departure time This will probably mean will miss connection Anchorage clearly does care know operate ground baseshameful joke should embarrassed they cant operate like normal airline They grasp concept that even small hiccup cause mass ripples chaos other people,3
4,"""in-flight service is usually weak""","I have been using BA for a while now and on average I cannot say that I am pretty satisfied. BA somehow experience cancellations and delays most of the time. Second, the in-flight service is usually weak. Food portions are small and cabin crew is not very helpful especially when it comes to drink requests. The screens in the A380s should be renewed as they are full of scratches and same size as A321s. Especially in longer flights, the entertainment system becomes more important. There is also no welcome package except for pillow and small blanket. I would expect more from BA. If you are flying from the US to anywhere except the UK, I would recommend considering other airlines. But if you are flying to/from UK directly, then BA could be one of your choices.",have been using while average cannot that pretty satisfied somehow experience cancellations delays most time Second inflight service usually weak Food portions small cabin crew very helpful especially when comes drink requests screens A380s should renewed they full scratches same size A321s Especially longer flights entertainment system becomes more important There also welcome package except pillow small blanket would expect more from flying from anywhere except would recommend considering other airlines flying tofrom directly then could your choices,3
1,"""BA customer service is a disgrace""","I flew from Istanbul to London in Business class. For more than half of the flight a child was watching an iPad very loud with no phones plugged in - it was three rows in front of me and disrupted my flight as I could hear it above my headphones. Staff thought this was fine and refused to tell the mom to turn it down. Why is this acceptable on a flight especially in business class? Has this airline turned into a zoo? Are staff given no training in customer service? Why is a child allowed to disrupt other passengers? When I told the staff she just laughed at me. BA customer service is a disgrace. I've not even mentioned the food but it was bad, really bad.",flew from Istanbul London Business class more than half flight child watching iPad very loud with phones plugged three rows front disrupted flight could hear above headphones Staff thought this fine refused tell turn down this acceptable flight especially business class this airline turned into staff given training customer service child allowed disrupt other passengers When told staff just laughed customer service disgrace even mentioned food really,2
1,"""gave up being a full-service airline""","The flight departed over an hour late due to a late inbound plane. The plane was very full, and half of the economy class passengers were forced to check in their larger cabin baggage at the gate when boarding, making a complete mockery of the hand luggage allowance advertised. Lots of passengers on board were stressed out about missing onwards connections due to the delays (and some did miss them as their next gates had closed by the time we disembarked at Heathrow). Onboard service was ok but minimal  - BA gave up being a full-service airline some time ago. More concerning is that trying to get hold of customers services to make changes to bookings and deal with problems was non-existent. The airline seems to make it deliberately hard for its customers to contact it.",flight departed over hour late late inbound plane plane very full half economy class passengers were forced check their larger cabin baggage gate when boarding making complete mockery hand luggage allowance advertised Lots passengers board were stressed about missing onwards connections delays some miss them their next gates closed time disembarked Heathrow Onboard service minimal gave being fullservice airline some time More concerning that trying hold customers services make changes bookings deal with problems nonexistent airline seems make deliberately hard customers contact,1
1,“I hate British Airways!”,"I hate British Airways! We get to London on Oct 3 and our next flight is cancelled. We stand in line with 1200 other people to get it fixed and they tell everyone to leave the airport and call them to fix. They book us the next day..via online. Don't offer vouchers for hotel, we will miss our tour. Now trying to get home from Istanbul. Plane is here but should have started loading an hour ago. No explanations. May miss next flight. Will never travel with them again. Was this same problem April 2022 flight.",hate British Airways London next flight cancelled stand line with other people fixed they tell everyone leave airport call them They book next dayvia online Dont offer vouchers hotel will miss tour trying home from Istanbul Plane here should have started loading hour explanations miss next flight Will never travel with them again this same problem April flight,1
